New_File_Name,Event_Count
00138-00-B001-1.LMD,100000
00139-00-B002-1.LMD,100000
00139-01-B004-1.LMD,110273
00139-02-B005-1.LMD,125866
00139-03-B002-1.LMD,180598
00139-04-B003-1.LMD,109535
00139-05-B005-1.LMD,198497
00140-00-B001-1.LMD,100000
00141-00-B001-1.LMD,102849
00142-00-B010-1.LMD,112349
00143-00-B001-1.LMD,100000
00144-00-B001-1.LMD,161548
00145-00-B001-1.LMD,100000
00146-00-B001-1.LMD,119980
00146-01-B002-1.LMD,105948
00147-00-B001-1.LMD,100000
00148-00-B001-1.LMD,117874
00149-00-B001-1.LMD,135898
00150-00-B001-1.LMD,109804
00151-00-B001-1.LMD,100000
00152-00-B001-1.LMD,100000
00153-00-B001-1.LMD,102149
00154-00-B001-1.LMD,100000
00155-00-B001-1.LMD,134531
00156-00-B001-1.LMD,103546
00157-00-B001-1.LMD,100000
00158-00-B001-1.LMD,100000
00159-00-B001-1.LMD,100000
00160-00-B001-1.LMD,100000
00161-00-B001-1.LMD,100000
00162-00-B001-1.LMD,100000
00163-00-B001-1.LMD,103814
00164-00-B001-1.LMD,103049
00165-00-B001-1.LMD,128248
00166-00-B001-1.LMD,100000
00167-00-B001-1.LMD,100000
00168-00-B001-1.LMD,89274
00169-00-B001-1.LMD,100000
00170-00-B001-1.LMD,100000
00171-00-B001-1.LMD,110262
00172-00-B001-1.LMD,102049
00173-00-B001-1.LMD,98699
00173-01-B002-1.LMD,108198
00174-00-B001-1.LMD,100000
00175-00-B001-1.LMD,107147
00176-00-B001-1.LMD,100000
00176-00-B006-1.LMD,49826
00176-01-B002-1.LMD,100000
00176-02-B001-1.LMD,100000
00176-03-B004-1.LMD,100000
00176-04-B005-1.LMD,100000
00176-05-B006-1.LMD,49826
00176-06-B007-1.LMD,100000
00176-07-B009-1.LMD,100000
00176-08-B010-1.LMD,82024
00176-09-B011-1.LMD,128098
00177-00-B001-1.LMD,100000
00177-01-B002-1.LMD,100000
00178-00-B001-1.LMD,104924
00179-00-B001-1.LMD,100000
00180-00-B001-1.LMD,100000
00181-00-B001-1.LMD,274571
00182-00-B001-1.LMD,100000
00183-00-B001-1.LMD,102874
00184-00-B001-1.LMD,100000
00185-00-B001-1.LMD,109933
00186-00-B001-1.LMD,154123
00186-01-B002-1.LMD,106039
00187-00-B001-1.LMD,112024
00188-00-B001-1.LMD,100000
00188-01-B002-1.LMD,205622
00189-00-B001-1.LMD,88699
00190-00-B001-1.LMD,100000
00190-01-B002-1.LMD,100000
00191-00-B001-1.LMD,107999
00192-00-B001-1.LMD,100000
00193-00-B001-1.LMD,162398
00193-01-B001-1.LMD,305621
00193-02-B002-1.LMD,245372
00194-00-B001-1.LMD,100000
